"INST
CODE",INSTITUTE NAME,PLACE,DIST,COED,TYPE,"YEAR OF
ESTB",BRANCH NAME,,"OC
BOYS","OC
GIRLS","BC_A
BOYS","BC_A
GIRLS","BC_B
BOYS","BC_B
GIRLS","BC_C
BOYS","BC_C
GIRLS","BC_D
BOYS","BC_D
GIRLS","BC_E
BOYS","BC_E
GIRLS","SC
BOYS","SC
GIRLS","ST
BOYS","ST
GIRLS","EWS
GEN OU","EWS
GIRLS OU","TUITION
FEE",AFFILIATED
SNIS,"SRINIDHI INSTITUTE OF SCI AND
TECHNOLOGY",GHATKESAR,MDL,COED,PVT,1997,CIV,,32304,32304,100495,101109,72277,72550,32304,32304,79075,79075,87751,87751,70373,113706,42836,113415,32304,48448,130000,JNTUH
SNIS,"SRINIDHI INSTITUTE OF SCI AND
TECHNOLOGY",GHATKESAR,MDL,COED,PVT,1997,CSC,,9213,10783,24454,24454,12994,17170,9213,10783,13186,13376,23123,34109,36830,48962,26226,26226,9347,10783,130000,JNTUH
SNIS,"SRINIDHI INSTITUTE OF SCI AND
TECHNOLOGY",GHATKESAR,MDL,COED,PVT,1997,CSD,,8267,9445,21985,27113,12343,14007,8267,91008,13130,15458,18470,18470,30692,38008,31146,34287,8804,9447,130000,JNTUH
SNIS,"SRINIDHI INSTITUTE OF SCI AND
TECHNOLOGY",GHATKESAR,MDL,COED,PVT,1997,CSE,,6188,6390,15832,19903,9598,11561,21322,21322,9625,10798,16808,20537,18113,21659,15468,17656,7212,8032,130000,JNTUH
SNIS,"SRINIDHI INSTITUTE OF SCI AND
TECHNOLOGY",GHATKESAR,MDL,COED,PVT,1997,CSM,,7341,8535,23099,23099,12546,13210,7341,8535,9276,12187,13324,39623,26430,44241,24946,37575,7642,9185,130000,JNTUH
SNIS,"SRINIDHI INSTITUTE OF SCI AND
TECHNOLOGY",GHATKESAR,MDL,COED,PVT,1997,CSO,,10608,11854,24862,30898,16541,20750,10608,11854,15009,19538,43414,43414,53868,65221,31912,61337,12342,12884,130000,JNTUH
SNIS,"SRINIDHI INSTITUTE OF SCI AND
TECHNOLOGY",GHATKESAR,MDL,COED,PVT,1997,ECE,,15256,15340,47566,51879,31695,31695,53090,53090,27303,27478,41565,56926,55410,68928,37086,76774,19803,19885,130000,JNTUH
SNIS,"SRINIDHI INSTITUTE OF SCI AND
TECHNOLOGY",GHATKESAR,MDL,COED,PVT,1997,ECM,,20526,25319,67537,67537,55571,61973,61061,61061,48628,72508,53637,79322,78755,94524,60703,60703,26323,45278,130000,JNTUH
SNIS,"SRINIDHI INSTITUTE OF SCI AND
TECHNOLOGY",GHATKESAR,MDL,COED,PVT,1997,EEE,,19608,26322,61757,90567,95017,95017,19608,100273,96494,96494,90965,101641,70053,94062,61751,120061,74472,74472,130000,JNTUH
SNIS,"SRINIDHI INSTITUTE OF SCI AND
TECHNOLOGY",GHATKESAR,MDL,COED,PVT,1997,INF,,10131,11159,30400,33967,18065,18879,35126,35126,14645,19096,27349,27349,40674,42356,29868,56553,11535,11546,130000,JNTUH
SNIS,"SRINIDHI INSTITUTE OF SCI AND
TECHNOLOGY",GHATKESAR,MDL,COED,PVT,1997,MEC,,38438,88818,118711,118711,119306,119306,60668,88818,81800,109355,84605,88818,118944,120339,100856,117118,83480,106711,130000,JNTUH
SNTI,"SCIENT INSTITUTE OF
TECHNOLOGY",IBRAHIMPATAN,RR,COED,PVT,2001,CSE,,58304,58304,112700,112700,103524,106268,86990,86990,85118,101078,94363,103648,118068,119552,110383,111530,112964,112964,58000,JNTUH
SNTI,"SCIENT INSTITUTE OF
TECHNOLOGY",IBRAHIMPATAN,RR,COED,PVT,2001,ECE,,79246,79246,103031,103031,79246,96310,79246,79246,90588,95743,83652,83652,107058,107058,103271,118392,79246,79246,58000,JNTUH
SNTI,"SCIENT INSTITUTE OF
TECHNOLOGY",IBRAHIMPATAN,RR,COED,PVT,2001,EEE,,70502,70502,109837,111270,110751,110751,98208,98208,98332,113617,70502,70502,120579,120579,110011,120007,70502,89280,58000,JNTUH
SNVM,"S N VANITHA PHARMACY MAHA
VIDYALAYA",TARNAKA,HYD,GIRLS,PVT,1998,PHD,,NA,46310,NA,46310,NA,46310,NA,46310,NA,46310,NA,46310,NA,46310,NA,46310,NA,46310,75000,OU
SNVM,"S N VANITHA PHARMACY MAHA
VIDYALAYA",TARNAKA,HYD,GIRLS,PVT,1998,PHM,,NA,76758,NA,76758,NA,76758,NA,76758,NA,76758,NA,76758,NA,76758,NA,76758,NA,76758,95000,OU
SPEC,"ST PETERS ENGINEERING
COLLEGE (AUTONOMOUS)",MEDCHAL,MDL,COED,PVT,2007,AID,,57551,63837,113757,113757,112931,112931,90464,90464,89478,100540,57551,113336,120236,120236,66180,80816,64169,83677,75000,JNTUH
SPEC,"ST PETERS ENGINEERING
COLLEGE (AUTONOMOUS)",MEDCHAL,MDL,COED,PVT,2007,CIV,,119183,119183,119183,119183,119183,119183,119183,119183,119183,119183,119183,119183,119183,119183,119183,119183,119183,119183,75000,JNTUH
SPEC,"ST PETERS ENGINEERING
COLLEGE (AUTONOMOUS)",MEDCHAL,MDL,COED,PVT,2007,CSE,,31916,31916,84525,103669,48911,69679,52275,52275,49372,59843,78641,109944,92859,99440,87037,112473,41368,46985,75000,JNTUH
SPEC,"ST PETERS ENGINEERING
COLLEGE (AUTONOMOUS)",MEDCHAL,MDL,COED,PVT,2007,CSG,,103633,103633,103633,103633,103633,103633,103633,103633,103633,103633,103633,103633,103633,103633,103633,103633,103633,103633,75000,JNTUH
SPEC,"ST PETERS ENGINEERING
COLLEGE (AUTONOMOUS)",MEDCHAL,MDL,COED,PVT,2007,CSM,,47113,56917,101884,109758,85583,99793,73295,73295,69999,69999,101772,101772,121210,121210,110470,110470,57088,58880,75000,JNTUH
SPEC,"ST PETERS ENGINEERING
COLLEGE (AUTONOMOUS)",MEDCHAL,MDL,COED,PVT,2007,ECE,,68051,78563,107293,107293,113159,113159,68051,78563,108266,108266,89693,89693,118663,118663,121120,121120,88318,88318,75000,JNTUH
SPEC,"ST PETERS ENGINEERING
COLLEGE (AUTONOMOUS)",MEDCHAL,MDL,COED,PVT,2007,EEE,,115228,115228,115228,115228,115228,115228,115228,115228,115228,115228,115228,115228,115228,115228,115228,115228,115228,115228,75000,JNTUH
SPEC,"ST PETERS ENGINEERING
COLLEGE (AUTONOMOUS)",MEDCHAL,MDL,COED,PVT,2007,INF,,45617,45617,102877,112228,84044,87675,91954,91954,79491,81605,107215,114035,120812,120812,117132,117132,52071,52071,75000,JNTUH
SPHN,"SPHOORTHY ENGINEERING
COLLEGE",NADERGUL,RR,COED,PVT,2004,CSC,,66017,109074,112207,112207,114032,114032,87550,109074,93099,112765,81370,109074,119892,121143,117577,118699,86578,109612,72000,JNTUH
SPHN,"SPHOORTHY ENGINEERING
COLLEGE",NADERGUL,RR,COED,PVT,2004,CSD,,69647,69647,112976,114136,111227,111227,69647,69647,85723,96056,114417,114417,117789,120781,115593,115593,69647,69647,72000,JNTUH
SPHN,"SPHOORTHY ENGINEERING
COLLEGE",NADERGUL,RR,COED,PVT,2004,CSM,,65114,66671,102577,115025,111376,113742,85065,85065,95471,95471,112013,112013,116802,116802,117948,117948,79602,79602,72000,JNTUH
SPHN,"SPHOORTHY ENGINEERING
COLLEGE",NADERGUL,RR,COED,PVT,2004,CSO,,97976,97976,97976,97976,97976,112899,97976,97976,99188,99188,97976,97976,97976,115974,97976,97976,110873,110873,72000,JNTUH
SPLP,STPAULS COLLEGE OF PHARMACY,TURKAYAMJAL,RR,COED,PVT,2007,PHM,,64486,64486,64486,64486,64486,64486,64486,64486,64486,64486,64486,64486,64486,64486,64486,64486,64486,64486,55000,OU
SRCP,"S R R COLLEGE OF
PHARMACEUTICAL SCIS",ELKATHURTY,HNK,COED,PVT,2002,PHD,,71416,71416,71416,71416,71416,71416,71416,71416,71416,71416,71416,71416,71416,71416,71416,71416,71416,71416,68000,JNTUH
SRCP,"S R R COLLEGE OF
PHARMACEUTICAL SCIS",ELKATHURTY,HNK,COED,PVT,2002,PHM,,42306,42306,42306,42306,42306,42306,42306,42306,42306,42306,42306,42306,42306,42306,42306,42306,42306,42306,45000,JNTUH
SREE,SREE COLLEGE OF PHARMACY,KOTHAGUDEM,KGM,COED,PVT,2009,PHM,,115347,115347,115347,115347,115347,115347,115347,115347,115347,115347,115347,115347,115347,115347,115347,115347,115347,115347,60000,KU
SRHP,"SR UNIVERSITY ( FORMERLY S R
ENGINEERING COLLEGE)",HASANPARTHY,HNK,COED,PVT,2002,CIV,,121107,121107,121107,121107,121107,121107,121107,121107,121107,121107,121107,121107,121107,121107,121107,121107,121107,121107,115000,SR UNIVERSITY
SRHP,"SR UNIVERSITY ( FORMERLY S R
ENGINEERING COLLEGE)",HASANPARTHY,HNK,COED,PVT,2002,CSE,,19276,19276,47854,47854,28797,33576,82675,82675,31917,35888,33627,38505,45246,60832,40695,44278,24327,24327,115000,SR UNIVERSITY
SRHP,"SR UNIVERSITY ( FORMERLY S R
ENGINEERING COLLEGE)",HASANPARTHY,HNK,COED,PVT,2002,ECE,,40753,40753,94569,94569,73003,73003,40753,46318,56589,99577,69751,106786,79001,117581,62676,116245,54078,66604,115000,SR UNIVERSITY
SRHP,"SR UNIVERSITY ( FORMERLY S R
ENGINEERING COLLEGE)",HASANPARTHY,HNK,COED,PVT,2002,EEE,,81223,81223,121100,121100,106119,116475,81223,81223,105009,105009,81223,81223,121358,121358,92761,111476,81223,81223,115000,SR UNIVERSITY
SRHP,"SR UNIVERSITY ( FORMERLY S R
ENGINEERING COLLEGE)",HASANPARTHY,HNK,COED,PVT,2002,MEC,,33165,33165,56372,56372,103658,103658,33165,33165,82985,82985,33165,33165,117662,117662,42870,42870,33165,33165,115000,SR UNIVERSITY
SRIW,"SUMATHI REDDY INST OF
TECHNOLOGY FOR WOMEN",HASANPARTHY,HNK,GIRLS,PVT,2009,CSC,,NA,82254,NA,86954,NA,114585,NA,87824,NA,110804,NA,98779,NA,120471,NA,95149,NA,94165,65000,JNTUH
SRIW,"SUMATHI REDDY INST OF
TECHNOLOGY FOR WOMEN",HASANPARTHY,HNK,GIRLS,PVT,2009,CSD,,NA,34378,NA,104652,NA,94637,NA,34378,NA,92878,NA,82460,NA,119427,NA,75042,NA,112677,65000,JNTUH
SRIW,"SUMATHI REDDY INST OF
TECHNOLOGY FOR WOMEN",HASANPARTHY,HNK,GIRLS,PVT,2009,CSE,,NA,35108,NA,63597,NA,59394,NA,74167,NA,52966,NA,77947,NA,121072,NA,119623,NA,51119,65000,JNTUH
SRIW,"SUMATHI REDDY INST OF
TECHNOLOGY FOR WOMEN",HASANPARTHY,HNK,GIRLS,PVT,2009,CSM,,NA,91102,NA,107606,NA,107955,NA,91102,NA,91102,NA,98377,NA,116809,NA,102833,NA,91102,65000,JNTUH
SRIW,"SUMATHI REDDY INST OF
TECHNOLOGY FOR WOMEN",HASANPARTHY,HNK,GIRLS,PVT,2009,ECE,,NA,86172,NA,108535,NA,107320,NA,87389,NA,114367,NA,113489,NA,120594,NA,109392,NA,92321,65000,JNTUH
SRYS,"SREYAS INST OF ENGG AND
TECHNOLOGY",NAGOLE,MDL,COED,PVT,2011,CIV,,121318,121318,121318,121318,121318,121318,121318,121318,121318,121318,121318,121318,121318,121318,121318,121318,121318,121318,81000,JNTUH
SRYS,"SREYAS INST OF ENGG AND
TECHNOLOGY",NAGOLE,MDL,COED,PVT,2011,CSD,,39135,46631,94895,94895,67354,87741,39135,52478,79985,79985,88556,107203,121006,121334,118647,118750,53963,53963,81000,JNTUH
SRYS,"SREYAS INST OF ENGG AND
TECHNOLOGY",NAGOLE,MDL,COED,PVT,2011,CSE,,28827,29320,68872,82474,59197,59197,88163,88163,50704,50704,63137,94373,94490,94490,72749,116180,33454,38277,81000,JNTUH
SRYS,"SREYAS INST OF ENGG AND
TECHNOLOGY",NAGOLE,MDL,COED,PVT,2011,CSM,,45552,45552,73531,112072,70523,78427,45552,45552,63596,68440,80006,114193,117150,120300,118013,118013,48643,56354,81000,JNTUH
SRYS,"SREYAS INST OF ENGG AND
TECHNOLOGY",NAGOLE,MDL,COED,PVT,2011,ECE,,56728,56728,114007,114007,108054,112926,56728,97837,92569,99923,81536,86648,118596,118596,120984,120984,66464,94158,81000,JNTUH
SRYS,"SREYAS INST OF ENGG AND
TECHNOLOGY",NAGOLE,MDL,COED,PVT,2011,MEC,,95179,95179,95179,95179,95179,95179,95179,95179,95179,95179,95179,95179,95179,95179,95179,95179,95179,95179,81000,JNTUH
SSJP,S S J COLLEGE OF PHARMACY,GANDIPET,RR,COED,PVT,2007,PHM,,76285,76285,76285,76285,76285,76285,76285,76285,76285,76285,76285,76285,76285,76285,76285,76285,76285,76285,65000,JNTUH
STLW,"STANLEY COLLEGE OF ENGG AND
TECHNOLOGY FOR WOMEN
(AUTONOMOUS)",ABIDS,HYD,GIRLS,PVT,2008,AID,,NA,27868,NA,62703,NA,41042,NA,98383,NA,46143,NA,46564,NA,115837,NA,106761,NA,46697,78000,OU
STLW,"STANLEY COLLEGE OF ENGG AND
TECHNOLOGY FOR WOMEN
(AUTONOMOUS)",ABIDS,HYD,GIRLS,PVT,2008,CME,,NA,49425,NA,108784,NA,107002,NA,105599,NA,80008,NA,88716,NA,115773,NA,59491,NA,66697,78000,OU
STLW,"STANLEY COLLEGE OF ENGG AND
TECHNOLOGY FOR WOMEN
(AUTONOMOUS)",ABIDS,HYD,GIRLS,PVT,2008,CSE,,NA,22353,NA,45976,NA,36431,NA,39745,NA,33528,NA,37362,NA,85842,NA,64386,NA,34792,78000,OU
STLW,"STANLEY COLLEGE OF ENGG AND
TECHNOLOGY FOR WOMEN
(AUTONOMOUS)",ABIDS,HYD,GIRLS,PVT,2008,ECE,,NA,53673,NA,112860,NA,113104,NA,77042,NA,110160,NA,76247,NA,121194,NA,120155,NA,60020,78000,OU
STLW,"STANLEY COLLEGE OF ENGG AND
TECHNOLOGY FOR WOMEN
(AUTONOMOUS)",ABIDS,HYD,GIRLS,PVT,2008,EEE,,NA,95079,NA,105227,NA,95079,NA,95079,NA,98520,NA,95079,NA,119244,NA,95079,NA,95079,78000,OU
STLW,"STANLEY COLLEGE OF ENGG AND
TECHNOLOGY FOR WOMEN
(AUTONOMOUS)",ABIDS,HYD,GIRLS,PVT,2008,INF,,NA,35517,NA,104657,NA,59339,NA,43932,NA,67974,NA,46555,NA,120650,NA,118563,NA,45281,78000,OU
SVES,"SRI VENKATESWARA
ENGINEERING COLLEGE",SURYAPETA,SRP,COED,PVT,1998,CIV,,85591,86345,105132,105132,93610,93610,85591,86345,99920,99920,85591,86345,92266,119964,120667,120842,85591,86345,50000,JNTUH
SVES,"SRI VENKATESWARA
ENGINEERING COLLEGE",SURYAPETA,SRP,COED,PVT,1998,CSE,,43959,44260,80714,80714,78805,78805,43959,44260,49675,49675,43959,70179,73364,78191,77958,77958,78754,78754,50000,JNTUH
SVES,"SRI VENKATESWARA
ENGINEERING COLLEGE",SURYAPETA,SRP,COED,PVT,1998,ECE,,46902,57828,90179,90179,105595,105595,79349,79349,79170,79942,111732,111732,115071,115071,103473,103473,81744,89607,50000,JNTUH
SVES,"SRI VENKATESWARA
ENGINEERING COLLEGE",SURYAPETA,SRP,COED,PVT,1998,EEE,,67740,67740,117414,117414,115237,115237,67740,67740,101803,101803,111827,111827,120483,120483,98826,98826,108048,108048,50000,JNTUH
SVES,"SRI VENKATESWARA
ENGINEERING COLLEGE",SURYAPETA,SRP,COED,PVT,1998,MEC,,73969,73969,73969,73969,73969,73969,73969,73969,73969,73969,73969,73969,73969,73969,73969,73969,73969,73969,50000,JNTUH
SVHU,SATAVAHANA UNIVERSITY,KARIMNAGAR,KRM,COED,UNIV,1980,PHM,,70009,70009,70009,70009,70009,70009,70009,70009,70009,70009,70009,70009,112296,112296,70009,70009,70009,70009,10000,SVHU
SVIT,"SWAMI VIVEKANANDA INST OF
TECHNOLOGY",SECUNDERABAD,HYD,COED,PVT,2004,CSC,,98571,98571,111715,112117,107266,112719,98571,119073,100132,113115,106641,106641,117785,117785,118559,118595,109414,109414,79350,JNTUH
SVIT,"SWAMI VIVEKANANDA INST OF
TECHNOLOGY",SECUNDERABAD,HYD,COED,PVT,2004,CSD,,49542,69990,85294,106424,91756,96400,109817,109817,99033,101729,88143,95664,119206,119614,117341,117520,95101,108461,79350,JNTUH
SVIT,"SWAMI VIVEKANANDA INST OF
TECHNOLOGY",SECUNDERABAD,HYD,COED,PVT,2004,CSM,,72808,72808,108594,108594,106901,106901,72808,72808,112739,112739,109129,109129,121467,121467,119991,121385,80271,80271,79350,JNTUH
SVIT,"SWAMI VIVEKANANDA INST OF
TECHNOLOGY",SECUNDERABAD,HYD,COED,PVT,2004,CSO,,76964,76964,108101,108101,113043,113043,76964,76964,108707,108707,81891,81891,112999,112999,113830,113830,94418,94418,79350,JNTUH
SVSE,"SVS GRP OF INSTNS - SVS INST OF
TECH",HANAMKONDA,HNK,COED,PVT,2008,CIV,,120107,120107,120107,120107,120107,120107,120107,120107,120107,120107,120107,120107,120107,120107,120107,120107,120107,120107,60000,JNTUH
SVSE,"SVS GRP OF INSTNS - SVS INST OF
TECH",HANAMKONDA,HNK,COED,PVT,2008,CSE,,62592,65549,112996,112996,108370,113283,62592,106945,77625,81692,71227,71227,95641,112993,116722,116722,62592,97197,60000,JNTUH
SVSE,"SVS GRP OF INSTNS - SVS INST OF
TECH",HANAMKONDA,HNK,COED,PVT,2008,CSM,,85346,85346,110618,110618,111559,111559,85346,85346,104631,104631,85346,107209,120259,121095,109281,117367,85346,85346,60000,JNTUH
SVSE,"SVS GRP OF INSTNS - SVS INST OF
TECH",HANAMKONDA,HNK,COED,PVT,2008,ECE,,53034,61841,84846,109354,99754,105625,53034,61841,103123,103123,53034,61841,121092,121092,118358,118358,53034,61841,60000,JNTUH
SVSE,"SVS GRP OF INSTNS - SVS INST OF
TECH",HANAMKONDA,HNK,COED,PVT,2008,EEE,,120764,120764,120764,120764,120764,120764,120764,120764,120764,120764,120764,120764,120764,120764,120764,120764,120764,120764,60000,JNTUH
SVSE,"SVS GRP OF INSTNS - SVS INST OF
TECH",HANAMKONDA,HNK,COED,PVT,2008,MEC,,81191,81191,81191,81191,98784,98784,81191,81191,81191,81191,81191,81191,86678,86678,81191,81191,81191,81191,60000,JNTUH
SWIT,"SWATHI INST OF TECHNOLOGY
SCI",HAYATHNAGAR,RR,COED,PVT,2009,CSE,,107312,107312,107312,107312,107312,107312,107312,107312,107312,107312,107312,107312,107312,107312,107312,107312,107312,107312,50000,OU
TCEK,"TRINITY COLLEGE OF
ENGINEERING AND TECHNOLOGY",PEDDAPALLY,PDL,COED,PVT,2008,AIM,,88956,88956,88956,88956,88956,88956,88956,88956,88956,88956,88956,88956,88956,88956,88956,88956,88956,88956,50000,JNTUH
TCEK,"TRINITY COLLEGE OF
ENGINEERING AND TECHNOLOGY",PEDDAPALLY,PDL,COED,PVT,2008,CSE,,64471,64471,102242,102242,105957,109069,75207,75207,74973,74973,64471,110115,120247,120247,95184,95184,113758,113758,50000,JNTUH
TCEK,"TRINITY COLLEGE OF
ENGINEERING AND TECHNOLOGY",PEDDAPALLY,PDL,COED,PVT,2008,ECE,,103898,103898,112843,112843,103898,104460,103898,103898,112663,112663,103898,103898,103898,103898,103898,103898,103898,103898,50000,JNTUH
TCEK,"TRINITY COLLEGE OF
ENGINEERING AND TECHNOLOGY",PEDDAPALLY,PDL,COED,PVT,2008,EEE,,109851,109851,109851,109851,109851,109851,109851,109851,109851,109851,109851,109851,109851,109851,109851,109851,109851,109851,50000,JNTUH
TCTK,"TRINITY COLLEGE OF
ENGINEERING AND TECHNOLOGY",KARIMNAGAR,KRM,COED,PVT,2008,AIM,,119337,119337,119337,119337,119337,119337,119337,119337,119337,119337,119337,119337,119337,119337,119337,119337,119337,119337,52000,JNTUH
TCTK,"TRINITY COLLEGE OF
ENGINEERING AND TECHNOLOGY",KARIMNAGAR,KRM,COED,PVT,2008,CSE,,55952,55952,91794,110868,88125,88125,55952,55952,101387,101387,55952,112096,107931,107931,116458,116458,55952,91986,52000,JNTUH
TCTK,"TRINITY COLLEGE OF
ENGINEERING AND TECHNOLOGY",KARIMNAGAR,KRM,COED,PVT,2008,ECE,,116800,116800,116800,116800,116800,116800,116800,116800,116800,116800,116800,116800,116800,116800,116800,116800,116800,116800,52000,JNTUH
TKEM,"TEEGALA KRISHNA REDDY
ENGINEERING COLLEGE
(AUTONOMOUS)",MIRPET,RR,COED,PVT,2005,AIM,,51914,61735,92468,113091,93499,114862,51914,61735,71323,111005,103124,103124,117164,120743,94117,118052,67481,67481,65000,JNTUH
TKEM,"TEEGALA KRISHNA REDDY
ENGINEERING COLLEGE
(AUTONOMOUS)",MIRPET,RR,COED,PVT,2005,CIV,,106874,106874,106874,106874,106874,106874,106874,106874,106874,106874,106874,106874,106874,106874,106874,106874,106874,106874,65000,JNTUH
TKEM,"TEEGALA KRISHNA REDDY
ENGINEERING COLLEGE
(AUTONOMOUS)",MIRPET,RR,COED,PVT,2005,CSE,,32280,37739,74488,79418,53085,53085,87762,87762,41093,41141,76656,77917,87047,115128,57868,94684,43591,43591,65000,JNTUH
TKEM,"TEEGALA KRISHNA REDDY
ENGINEERING COLLEGE
(AUTONOMOUS)",MIRPET,RR,COED,PVT,2005,CSG,,117645,117645,117645,117645,117645,117645,117645,117645,117645,117645,117645,117645,117645,117645,117645,117645,117645,117645,65000,JNTUH
